ρ = 1/2 φ², V(ρ)
0, 0
5.00005e-06, -1.24997e-07
1.00001e-05, -2.49986e-07
1.50002e-05, -3.74966e-07
2.00002e-05, -4.99938e-07
2.50003e-05, -6.24902e-07
3.00003e-05, -7.49857e-07
3.50004e-05, -8.74805e-07
4.00004e-05, -9.99743e-07
4.50005e-05, -1.12467e-06
5.00005e-05, -1.2496e-06
5.50006e-05, -1.37451e-06
6.00006e-05, -1.49941e-06
6.50007e-05, -1.62431e-06
7.00007e-05, -1.7492e-06
7.50008e-05, -1.87408e-06
8.00008e-05, -1.99895e-06
8.50009e-05, -2.12382e-06
9.00009e-05, -2.24867e-06
9.5001e-05, -2.37352e-06
0.000100001, -2.49836e-06
0.000105001, -2.62319e-06
0.000110001, -2.74801e-06
0.000115001, -2.87282e-06
0.000120001, -2.99763e-06
0.000125001, -3.12243e-06
0.000130001, -3.24722e-06
0.000135001, -3.372e-06
0.000140001, -3.49677e-06
0.000145001, -3.62153e-06
0.000150002, -3.74629e-06
0.000155002, -3.87103e-06
0.000160002, -3.99577e-06
0.000165002, -4.1205e-06
0.000170002, -4.24523e-06
0.000175002, -4.36994e-06
0.000180002, -4.49464e-06
0.000185002, -4.61934e-06
0.000190002, -4.74403e-06
0.000195002, -4.86871e-06
0.000200002, -4.99338e-06
0.000205002, -5.11805e-06
0.000210002, -5.2427e-06
0.000215002, -5.36735e-06
0.000220002, -5.49199e-06
0.000225002, -5.61662e-06
0.000230002, -5.74124e-06
0.000235002, -5.86585e-06
0.000240002, -5.99046e-06
0.000245002, -6.11506e-06
0.000250003, -6.23965e-06
0.000255003, -6.36423e-06
0.000260003, -6.4888e-06
0.000265003, -6.61336e-06
0.000270003, -6.73792e-06
0.000275003, -6.86246e-06
0.000280003, -6.987e-06
0.000285003, -7.11153e-06
0.000290003, -7.23606e-06
0.000295003, -7.36057e-06
0.000300003, -7.48507e-06
0.000305003, -7.60957e-06
0.000310003, -7.73406e-06
0.000315003, -7.85854e-06
0.000320003, -7.98301e-06
0.000325003, -8.10748e-06
0.000330003, -8.23193e-06
0.000335003, -8.35638e-06
0.000340003, -8.48082e-06
0.000345003, -8.60525e-06
0.000350004, -8.72967e-06
0.000355004, -8.85408e-06
0.000360004, -8.97849e-06
0.000365004, -9.10289e-06
0.000370004, -9.22728e-06
0.000375004, -9.35166e-06
0.000380004, -9.47603e-06
0.000385004, -9.60039e-06
0.000390004, -9.72475e-06
0.000395004, -9.84909e-06
0.000400004, -9.97343e-06
0.000405004, -1.00978e-05
0.000410004, -1.02221e-05
0.000415004, -1.03464e-05
0.000420004, -1.04707e-05
0.000425004, -1.0595e-05
0.000430004, -1.07193e-05
0.000435004, -1.08436e-05
0.000440004, -1.09678e-05
0.000445004, -1.10921e-05
0.000450005, -1.12164e-05
0.000455005, -1.13406e-05
0.000460005, -1.14648e-05
0.000465005, -1.15891e-05
